2022-12-13 11:00:38.868 [main] INFO  com.runjian.stream.StreamManageApplication:55 - Starting StreamManageApplication using Java 11.0.16.1 on Miracle with PID 27800 (D:\Project\Work\Rundo-Video\DevCode\rundo-video\rundo-stream-manage\target\classes started by Miracle in D:\Project\Work\Rundo-Video\DevCode\rundo-video)
2022-12-13 11:00:38.870 [main] INFO  com.runjian.stream.StreamManageApplication:645 - No active profile set, falling back to 1 default profile: "default"
2022-12-13 11:00:39.233 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate:262 - Multiple Spring Data modules found, entering strict repository configuration mode
2022-12-13 11:00:39.234 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate:132 - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2022-12-13 11:00:39.256 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate:201 - Finished Spring Data repository scanning in 3 ms. Found 0 Redis repository interfaces.
2022-12-13 11:00:39.319 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner:44 - No MyBatis mapper was found in '[com.runjian.stream]' package. Please check your configuration.
2022-12-13 11:00:39.361 [main] INFO  o.springframework.cloud.context.scope.GenericScope:283 - BeanFactory id=7557b3e2-fa78-341e-a454-e9078617d694
2022-12-13 11:00:39.556 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer:108 - Tomcat initialized with port(s): 8080 (http)
2022-12-13 11:00:39.562 [main] INFO  org.apache.coyote.http11.Http11NioProtocol:173 - Initializing ProtocolHandler ["http-nio-8080"]
2022-12-13 11:00:39.562 [main] INFO  org.apache.catalina.core.StandardService:173 - Starting service [Tomcat]
2022-12-13 11:00:39.562 [main] INFO  org.apache.catalina.core.StandardEngine:173 - Starting Servlet engine: [Apache Tomcat/9.0.65]
2022-12-13 11:00:39.619 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]:173 - Initializing Spring embedded WebApplicationContext
2022-12-13 11:00:39.620 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext:290 - Root WebApplicationContext: initialization completed in 729 ms
2022-12-13 11:00:39.977 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure:55 - Init DruidDataSource
2022-12-13 11:00:40.210 [main] INFO  com.alibaba.druid.pool.DruidDataSource:972 - {dataSource-1} inited
2022-12-13 11:00:40.952 [main] INFO  com.alibaba.nacos.common.remote.client:80 - [RpcClientFactory] create a new rpc client of a3ab4e3d-9803-48cc-a58b-1007f8cd7c47
2022-12-13 11:00:40.978 [main] INFO  org.reflections.Reflections:232 - Reflections took 14 ms to scan 1 urls, producing 3 keys and 6 values 
2022-12-13 11:00:40.994 [main] INFO  org.reflections.Reflections:232 - Reflections took 8 ms to scan 1 urls, producing 4 keys and 9 values 
2022-12-13 11:00:41.001 [main] INFO  org.reflections.Reflections:232 - Reflections took 5 ms to scan 1 urls, producing 3 keys and 10 values 
2022-12-13 11:00:41.002 [main] WARN  org.reflections.Reflections:179 - given scan urls are empty. set urls in the configuration
2022-12-13 11:00:41.009 [main] INFO  org.reflections.Reflections:232 - Reflections took 6 ms to scan 1 urls, producing 1 keys and 5 values 
2022-12-13 11:00:41.016 [main] INFO  org.reflections.Reflections:232 - Reflections took 6 ms to scan 1 urls, producing 1 keys and 7 values 
2022-12-13 11:00:41.022 [main] INFO  org.reflections.Reflections:232 - Reflections took 5 ms to scan 1 urls, producing 2 keys and 8 values 
2022-12-13 11:00:41.023 [main] WARN  org.reflections.Reflections:179 - given scan urls are empty. set urls in the configuration
2022-12-13 11:00:41.023 [main] INFO  com.alibaba.nacos.common.remote.client:60 - [a3ab4e3d-9803-48cc-a58b-1007f8cd7c47] RpcClient init label, labels = {module=naming, source=sdk}
2022-12-13 11:00:41.024 [main] INFO  com.alibaba.nacos.common.remote.client:60 - [a3ab4e3d-9803-48cc-a58b-1007f8cd7c47] RpcClient init, ServerListFactory = com.alibaba.nacos.client.naming.core.ServerListManager
2022-12-13 11:00:41.024 [main] INFO  com.alibaba.nacos.common.remote.client:60 - [a3ab4e3d-9803-48cc-a58b-1007f8cd7c47] Registry connection listener to current client:com.alibaba.nacos.client.naming.remote.gprc.redo.NamingGrpcRedoService
2022-12-13 11:00:41.025 [main] INFO  com.alibaba.nacos.common.remote.client:60 - [a3ab4e3d-9803-48cc-a58b-1007f8cd7c47] Register server push request handler:com.alibaba.nacos.client.naming.remote.gprc.NamingPushRequestHandler
2022-12-13 11:00:41.026 [main] INFO  com.alibaba.nacos.common.remote.client:60 - [a3ab4e3d-9803-48cc-a58b-1007f8cd7c47] Try to connect to server on start up, server: {serverIp = '127.0.0.1', server main port = 8848}
2022-12-13 11:00:41.922 [main] INFO  com.alibaba.nacos.common.remote.client:60 - [a3ab4e3d-9803-48cc-a58b-1007f8cd7c47] Success to connect to server [127.0.0.1:8848] on start up, connectionId = 1670900441757_172.20.0.1_55896
2022-12-13 11:00:41.924 [com.alibaba.nacos.client.remote.worker] INFO  com.alibaba.nacos.common.remote.client:60 - [a3ab4e3d-9803-48cc-a58b-1007f8cd7c47] Notify connected event to listeners.
2022-12-13 11:00:41.926 [main] INFO  com.alibaba.nacos.common.remote.client:60 - [a3ab4e3d-9803-48cc-a58b-1007f8cd7c47] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$ConnectResetRequestHandler
2022-12-13 11:00:41.929 [main] INFO  com.alibaba.nacos.common.remote.client:60 - [a3ab4e3d-9803-48cc-a58b-1007f8cd7c47] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$$Lambda$1085/0x0000000800754c40
2022-12-13 11:00:41.957 [main] INFO  org.apache.coyote.http11.Http11NioProtocol:173 - Starting ProtocolHandler ["http-nio-8080"]
2022-12-13 11:00:41.960 [main] WARN  o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext:591 - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.context.ApplicationContextException: Failed to start bean 'webServerStartStop'; nested exception is org.springframework.boot.web.server.PortInUseException: Port 8080 is already in use
2022-12-13 11:00:41.983 [main] INFO  com.alibaba.druid.pool.DruidDataSource:2051 - {dataSource-1} closing ...
2022-12-13 11:00:41.987 [main] INFO  com.alibaba.druid.pool.DruidDataSource:2124 - {dataSource-1} closed
2022-12-13 11:00:42.549 [nacos-grpc-client-executor-6] INFO  com.alibaba.nacos.common.remote.client:60 - [a3ab4e3d-9803-48cc-a58b-1007f8cd7c47] Receive server push request, request = NotifySubscriberRequest, requestId = 6
2022-12-13 11:00:42.551 [nacos-grpc-client-executor-6] INFO  com.alibaba.nacos.common.remote.client:60 - [a3ab4e3d-9803-48cc-a58b-1007f8cd7c47] Ack server push request, request = NotifySubscriberRequest, requestId = 6
2022-12-13 11:00:42.639 [main] INFO  com.alibaba.nacos.common.remote.client:454 - Shutdown rpc client, set status to shutdown
2022-12-13 11:00:42.639 [main] INFO  com.alibaba.nacos.common.remote.client:456 - Shutdown client event executor java.util.concurrent.ScheduledThreadPoolExecutor@97cb8dc[Running, pool size = 2, active threads = 2, queued tasks = 0, completed tasks = 0]
2022-12-13 11:00:42.639 [main] INFO  com.alibaba.nacos.common.remote.client:591 - Close current connection 1670900441757_172.20.0.1_55896
2022-12-13 11:00:42.645 [main] INFO  c.a.nacos.common.remote.client.grpc.GrpcClient:85 - Shutdown grpc executor java.util.concurrent.ThreadPoolExecutor@68303c3e[Running, pool size = 7, active threads = 0, queued tasks = 0, completed tasks = 7]
2022-12-13 11:00:42.657 [grpc-nio-worker-ELG-1-2] INFO  c.a.n.shaded.io.grpc.internal.AbstractClientStream:391 - Received trailers on closed stream:
 Metadata()
 {2}
2022-12-13 11:00:42.730 [main] INFO  com.alibaba.nacos.common.remote.client:80 - [RpcClientFactory] create a new rpc client of c99df974-a3c4-4b81-9b5f-7f13a2f209ee
2022-12-13 11:00:42.730 [main] INFO  com.alibaba.nacos.common.remote.client:60 - [c99df974-a3c4-4b81-9b5f-7f13a2f209ee] RpcClient init label, labels = {module=naming, source=sdk}
2022-12-13 11:00:42.730 [main] INFO  com.alibaba.nacos.common.remote.client:60 - [c99df974-a3c4-4b81-9b5f-7f13a2f209ee] RpcClient init, ServerListFactory = com.alibaba.nacos.client.naming.core.ServerListManager
2022-12-13 11:00:42.730 [main] INFO  com.alibaba.nacos.common.remote.client:60 - [c99df974-a3c4-4b81-9b5f-7f13a2f209ee] Registry connection listener to current client:com.alibaba.nacos.client.naming.remote.gprc.redo.NamingGrpcRedoService
2022-12-13 11:00:42.730 [main] INFO  com.alibaba.nacos.common.remote.client:60 - [c99df974-a3c4-4b81-9b5f-7f13a2f209ee] Register server push request handler:com.alibaba.nacos.client.naming.remote.gprc.NamingPushRequestHandler
2022-12-13 11:00:42.731 [main] INFO  com.alibaba.nacos.common.remote.client:60 - [c99df974-a3c4-4b81-9b5f-7f13a2f209ee] Try to connect to server on start up, server: {serverIp = '127.0.0.1', server main port = 8848}
2022-12-13 11:00:42.858 [main] INFO  com.alibaba.nacos.common.remote.client:60 - [c99df974-a3c4-4b81-9b5f-7f13a2f209ee] Success to connect to server [127.0.0.1:8848] on start up, connectionId = 1670900442737_172.20.0.1_55898
